date,open,high,low,close,adj_close,volume,dividend,split,logret,ret
2019-06-03,123.85,124.37,119.01,119.84,119.84,37983637.0,0.0,1.0,-0.03154,-0.03105
2019-06-04,121.28,123.28,120.6522,123.16,123.16,29382642.0,0.0,1.0,0.02733,0.0277
2019-06-05,124.95,125.87,124.21,125.83,125.83,24926140.0,0.0,1.0,0.02145,0.02168
2019-06-06,126.44,127.97,125.6,127.82,127.82,21458961.0,0.0,1.0,0.01569,0.01581
2019-06-07,129.19,132.25,128.26,131.4,131.4,33885588.0,0.0,1.0,0.02762,0.02801
2019-06-10,132.4,134.08,132.0,132.6,132.6,26477098.0,0.0,1.0,0.00909,0.00913
2019-06-11,133.88,134.24,131.2757,132.1,132.1,23913731.0,0.0,1.0,-0.00378,-0.00377
2019-06-12,131.4,131.97,130.71,131.49,131.49,17092464.0,0.0,1.0,-0.00463,-0.00462
2019-06-13,131.98,132.67,131.56,132.32,132.32,17200848.0,0.0,1.0,0.00629,0.00631
2019-06-14,132.26,133.79,131.64,132.45,132.45,17821703.0,0.0,1.0,0.00098,0.00098
2019-06-17,132.63,133.73,132.53,132.85,132.85,14517785.0,0.0,1.0,0.00302,0.00302
2019-06-18,134.19,135.24,133.57,135.16,135.16,25934458.0,0.0,1.0,0.01724,0.01739
2019-06-19,135.0,135.93,133.81,135.69,135.69,23744441.0,0.0,1.0,0.00391,0.00392
2019-06-20,137.45,137.66,135.72,136.95,136.95,33042592.0,0.0,1.0,0.00924,0.00929
2019-06-21,136.58,137.73,136.46,136.97,136.97,36727892.0,0.0,1.0,0.00015,0.00015
2019-06-24,137.0,138.4,137.0,137.78,137.78,20628841.0,0.0,1.0,0.0059,0.00591
2019-06-25,137.25,137.59,132.73,133.43,133.43,33327420.0,0.0,1.0,-0.03208,-0.03157
2019-06-26,134.35,135.74,133.6,133.93,133.93,23657745.0,0.0,1.0,0.00374,0.00375
2019-06-27,134.14,134.71,133.51,134.15,134.15,16557482.0,0.0,1.0,0.00164,0.00164
2019-06-28,134.57,134.6,133.1558,133.96,133.96,30042969.0,0.0,1.0,-0.00142,-0.00142
2019-07-01,136.63,136.7,134.97,135.68,135.68,22654160.0,0.0,1.0,0.01276,0.01284
2019-07-02,136.12,136.59,135.34,136.58,136.58,15237843.0,0.0,1.0,0.00661,0.00663
2019-07-03,136.8,137.74,136.295,137.46,137.46,13629296.0,0.0,1.0,0.00642,0.00644
